Testing regress.npy

Best score:  -0.0964262077551

Best estimator:  KernelRidge(alpha=0.001, coef0=1, degree=3, gamma=0.1, kernel='rbf',
      kernel_params=None)

Grid scores: 
-2.905 (+/-3.935) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 1.0}
-7.242 (+/-22.047) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 1.0}
-0.912 (+/-1.978) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 0.1}
-4.126 (+/-9.560) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 0.1}
-1.077 (+/-1.385) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 0.01}
-1.273 (+/-1.209) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 0.01}
-0.754 (+/-0.790) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 0.001}
-0.817 (+/-0.797) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 0.001}
-2.023 (+/-3.263) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 1.0}
-5.457 (+/-18.646) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 1.0}
-0.227 (+/-0.312) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 0.1}
-4.973 (+/-16.260) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 0.1}
-1.431 (+/-1.227) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 0.01}
-2.060 (+/-3.129) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 0.01}
-0.880 (+/-0.847) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 0.001}
-0.910 (+/-0.849) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 0.001}
-1.672 (+/-3.139) for {'alpha': 0.01, 'kernel': 'rbf', 'gamma': 1.0}
-8.885 (+/-19.293) for {'alpha': 0.01, 'kernel': 'polynomial', 'gamma': 1.0}
-0.100 (+/-0.132) for {'alpha': 0.01, 'kernel': 'rbf', 'gamma': 0.1}
-7.305 (+/-17.218) for {'alpha': 0.01, 'kernel': 'polynomial', 'gamma': 0.1}
-1.958 (+/-4.526) for {'alpha': 0.01, 'kernel': 'rbf', 'gamma': 0.01}
-2.982 (+/-7.236) for {'alpha': 0.01, 'kernel': 'polynomial', 'gamma': 0.01}
-1.033 (+/-0.926) for {'alpha': 0.01, 'kernel': 'rbf', 'gamma': 0.001}
-1.088 (+/-0.951) for {'alpha': 0.01, 'kernel': 'polynomial', 'gamma': 0.001}
-1.689 (+/-2.696) for {'alpha': 0.001, 'kernel': 'rbf', 'gamma': 1.0}
-11.605 (+/-25.522) for {'alpha': 0.001, 'kernel': 'polynomial', 'gamma': 1.0}
-0.096 (+/-0.145) for {'alpha': 0.001, 'kernel': 'rbf', 'gamma': 0.1}
-11.206 (+/-24.447) for {'alpha': 0.001, 'kernel': 'polynomial', 'gamma': 0.1}
-3.946 (+/-8.101) for {'alpha': 0.001, 'kernel': 'rbf', 'gamma': 0.01}
-4.674 (+/-12.983) for {'alpha': 0.001, 'kernel': 'polynomial', 'gamma': 0.01}
-1.653 (+/-1.875) for {'alpha': 0.001, 'kernel': 'rbf', 'gamma': 0.001}
-1.885 (+/-2.544) for {'alpha': 0.001, 'kernel': 'polynomial', 'gamma': 0.001}

_______________________________________________________________________________

Testing regress2.npy

Best score:  -0.0767902817659

Best estimator:  KernelRidge(alpha=0.1, coef0=1, degree=3, gamma=1.0, kernel='polynomial',
      kernel_params=None)

Grid scores: 
-2129.147 (+/-5472.918) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 1.0}
-0.383 (+/-0.708) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 1.0}
-1855.763 (+/-4518.702) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 0.1}
-371.324 (+/-887.915) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 0.1}
-1582.454 (+/-3701.604) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 0.01}
-1360.647 (+/-2984.003) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 0.01}
-2624.334 (+/-6567.028) for {'alpha': 1.0, 'kernel': 'rbf', 'gamma': 0.001}
-2402.537 (+/-6074.768) for {'alpha': 1.0, 'kernel': 'polynomial', 'gamma': 0.001}
-2009.577 (+/-5209.029) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 1.0}
-0.077 (+/-0.119) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 1.0}
-1264.740 (+/-3243.011) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 0.1}
-12.563 (+/-30.190) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 0.1}
-1769.607 (+/-3163.545) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 0.01}
-1877.763 (+/-3511.859) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 0.01}
-1303.746 (+/-3046.216) for {'alpha': 0.1, 'kernel': 'rbf', 'gamma': 0.001}
-1140.134 (+/-2510.485) for {'alpha': 0.1, 'kernel': 'polynomial', 'gamma': 0.001}
-1952.743 (+/-5021.711) for {'alpha': 0.01, 'kernel': 'rbf', 'gamma': 1.0}
-0.103 (+/-0.186) for {'alpha': 0.01, 'kernel': 'polynomial', 'gamma': 1.0}
-811.083 (+/-2063.964) for {'alpha': 0.01, 'kernel': 'rbf', 'gamma': 0.1}
-0.172 (+/-0.498) for {'alpha': 0.01, 'kernel': 'polynomial', 'gamma': 0.1}
